Date,Capacity,Voltage,Temperature,ChargeCycles,DischargeRate,StateOfHealth,InternalResistance,ManufactureDate
2024-01-01,75,3.7,22,500,1.2,89,0.05,2020-06-15
2024-01-02,80,3.75,23,505,1.3,88,0.04,2020-06-15
2024-01-03,85,3.8,24,510,1.1,87,0.06,2020-06-15
2024-01-04,90,3.85,22,515,1.0,85,0.05,2020-06-15
2024-01-05,87,3.8,21,520,1.2,86,0.04,2020-06-15
2024-01-06,83,3.75,22,525,1.3,84,0.07,2020-06-15
2024-01-07,78,3.7,23,530,1.4,82,0.08,2020-06-15
2024-01-08,82,3.75,24,535,1.2,83,0.06,2020-06-15
2024-01-09,88,3.8,25,540,1.1,80,0.05,2020-06-15
2024-01-10,91,3.85,26,545,1.0,78,0.07,2020-06-15
2024-01-11,86,3.8,27,550,1.1,76,0.06,2020-06-15
2024-01-12,79,3.7,28,555,1.3,74,0.08,2020-06-15
2024-01-13,84,3.75,29,560,1.2,72,0.07,2020-06-15
2024-01-14,89,3.8,30,565,1.1,71,0.06,2020-06-15
2024-01-15,92,3.85,31,570,1.0,69,0.05,2020-06-15
2024-01-16,87,3.8,32,575,1.2,67,0.07,2020-06-15
2024-01-17,83,3.75,33,580,1.3,65,0.08,2020-06-15
2024-01-18,80,3.7,34,585,1.4,64,0.09,2020-06-15
2024-01-19,85,3.75,35,590,1.2,62,0.08,2020-06-15
2024-01-20,90,3.8,36,595,1.1,60,0.07,2020-06-15
2024-01-21,93,3.85,37,600,1.0,58,0.06,2020-06-15
2024-01-22,94,3.9,38,605,0.9,56,0.05,2020-06-15
2024-01-23,95,3.9,39,610,0.9,54,0.04,2020-06-15
2024-01-24,96,3.9,40,615,0.8,52,0.03,2020-06-15
2024-01-25,97,3.9,41,620,0.8,50,0.02,2020-06-15
